,Date,ticker,price,volume
10012,5/2/18,RCL,101.7260284,2076500
10013,5/3/18,RCL,100.9193573,1578100
10014,5/4/18,RCL,101.8873672,1514300
10015,5/7/18,RCL,99.70459747,2114100
10016,5/8/18,RCL,98.76507568,2493800
10017,5/9/18,RCL,99.80899811,2025800
10018,5/10/18,RCL,101.8019485,2159300
10019,5/11/18,RCL,101.6026459,3280600
10020,5/14/18,RCL,101.6690903,1273000
10021,5/15/18,RCL,101.1850815,2050900
10022,5/16/18,RCL,102.4852448,1953200
10023,5/17/18,RCL,101.8778687,1742300
10024,5/18/18,RCL,101.5077515,1784100
10025,5/21/18,RCL,101.7544937,1004500
10026,5/22/18,RCL,102.0297089,975800
10027,5/23/18,RCL,100.909874,2121300
10028,5/24/18,RCL,101.2610016,1466900
10029,5/25/18,RCL,104.2029953,2520800
10030,5/29/18,RCL,100.3878937,2659400
10031,5/30/18,RCL,100.6441422,1328600
10032,5/31/18,RCL,99.62867737,1619200
10033,6/1/18,RCL,101.4899216,1519900
10034,6/4/18,RCL,101.6617355,1524800
10035,6/5/18,RCL,97.50019073,3661800
10036,6/6/18,RCL,99.628685,2641300
10037,6/7/18,RCL,99.64776611,1153800
10038,6/8/18,RCL,98.76963806,1504800
10039,6/11/18,RCL,98.96053314,1235000
10040,6/12/18,RCL,100.888588,3381600
10041,6/13/18,RCL,103.0648117,2570300
10042,6/14/18,RCL,108.3335419,5100800
10043,6/15/18,RCL,109.2975693,3380700
10044,6/18/18,RCL,109.402565,2004700
10045,6/19/18,RCL,107.1881638,2359800
10046,6/20/18,RCL,106.4723053,2118100
10047,6/21/18,RCL,105.2028503,2657200
10048,6/22/18,RCL,106.4723053,2468600
10049,6/25/18,RCL,100.5927048,3431700
10050,6/26/18,RCL,101.4612885,1514600
10051,6/27/18,RCL,100.0009155,2171200
10052,6/28/18,RCL,99.54277039,1877200
10053,6/29/18,RCL,98.88418579,2436000
10054,7/2/18,RCL,99.22779846,2806300
10055,7/3/18,RCL,98.73147583,1326800
10056,7/5/18,RCL,99.15142822,1397800
10057,7/6/18,RCL,99.97229004,1633400
10058,7/9/18,RCL,103.2270737,2270200
10059,7/10/18,RCL,104.1624603,1441000
10060,7/11/18,RCL,104.2674561,1525400
10061,7/12/18,RCL,103.9811096,1694700
10062,7/13/18,RCL,102.959816,1548500
10063,7/16/18,RCL,104.1147308,1309300
10064,7/17/18,RCL,104.3724365,1171400
10065,7/18/18,RCL,107.6844864,2557100
10066,7/19/18,RCL,106.4054947,1283300
10067,7/20/18,RCL,105.527359,1001900
10068,7/23/18,RCL,104.7542343,1088900
10069,7/24/18,RCL,104.2101898,1205100
10070,7/25/18,RCL,105.7278061,1137600
10071,7/26/18,RCL,106.4818344,1268000
10072,7/27/18,RCL,106.6822815,1283700
10073,7/30/18,RCL,105.9759674,1203500
10074,7/31/18,RCL,107.6272354,1663500
10075,8/1/18,RCL,104.9833145,1864400
